country,France,Italy,Spain,US,United Kingdom
22.01.2020,,,,1,
23.01.2020,,,,1,
24.01.2020,2,,,2,
25.01.2020,3,,,2,
26.01.2020,3,,,5,
27.01.2020,3,,,5,
28.01.2020,4,,,5,
29.01.2020,5,,,6,
30.01.2020,5,,,6,
31.01.2020,5,2,,8,2
01.02.2020,6,2,1,8,2
02.02.2020,6,2,1,8,2
03.02.2020,6,2,1,11,8
04.02.2020,6,2,1,11,8
05.02.2020,6,2,1,11,9
06.02.2020,6,2,1,12,9
07.02.2020,6,3,1,12,9
08.02.2020,11,3,1,12,13
09.02.2020,11,3,2,12,14
10.02.2020,11,3,2,12,14
11.02.2020,11,3,2,13,15
12.02.2020,11,3,2,13,16
13.02.2020,11,3,2,14,17
14.02.2020,11,3,2,14,18
15.02.2020,12,3,2,14,18
16.02.2020,12,3,2,14,18
17.02.2020,12,3,2,14,19
18.02.2020,12,3,2,14,19
19.02.2020,12,3,2,14,20
20.02.2020,12,3,2,14,22
21.02.2020,12,20,2,16,23
22.02.2020,12,62,2,16,23
23.02.2020,12,155,2,16,28
24.02.2020,12,229,2,16,30
25.02.2020,14,322,6,16,34
26.02.2020,18,453,13,16,37
27.02.2020,38,655,15,17,44
28.02.2020,57,888,32,17,56
29.02.2020,100,1128,45,25,61
01.03.2020,130,1694,84,32,94
02.03.2020,191,2036,120,55,134
03.03.2020,212,2502,165,74,189
04.03.2020,288,3089,222,107,246
05.03.2020,426,3858,259,184,295
06.03.2020,616,4636,400,237,374
07.03.2020,948,5883,500,403,429
08.03.2020,1125,7375,673,519,483
09.03.2020,1411,9172,1073,594,630
10.03.2020,1783,10149,1695,782,889
11.03.2020,2293,12462,2277,1147,1301
12.03.2020,2888,15113,3146,1586,593
13.03.2020,3681,17660,5232,2219,2270
14.03.2020,4496,21157,6391,2978,2634
15.03.2020,4532,24747,7798,3212,3077
16.03.2020,6683,27980,9942,4679,3692
17.03.2020,7715,31506,11748,6512,4462
18.03.2020,9124,35713,13910,9169,5468
19.03.2020,10970,41035,17963,13663,6534
20.03.2020,12758,47021,20410,20030,7792
21.03.2020,14463,53578,25374,26025,9007
22.03.2020,16761,59138,28768,34944,10395
23.03.2020,20120,63927,35136,46096,12744
24.03.2020,22372,69176,39885,56714,15126
25.03.2020,25331,74386,49515,68841,17843
26.03.2020,29252,80589,57786,86662,20970
27.03.2020,33045,86498,65719,105253,24219
28.03.2020,37693,92472,73235,127417,27062
29.03.2020,40296,97689,80110,143544,29954
30.03.2020,44645,101739,87956,165698,34281
31.03.2020,52281,105792,95923,192079,38815
01.04.2020,57125,110574,104118,223531,43789
02.04.2020,59227,115242,112065,255619,48718
03.04.2020,64452,119827,119199,287823,53699
04.04.2020,47376,124632,126168,319714,57772
05.04.2020,48225,128948,131646,348956,61422
06.04.2020,50884,132547,136675,380685,66738
07.04.2020,47395,135586,141942,410750,72224
08.04.2020,51250,139422,148220,441828,77387
09.04.2020,55034,143626,153222,477439,82293
10.04.2020,56600,147577,158273,511778,86660
11.04.2020,58045,152271,163027,540651,90273
12.04.2020,108792,156363,166831,567102,93812
13.04.2020,111933,159516,170099,594143,98017
14.04.2020,129381,162488,172541,622492,102365
15.04.2020,132588,165155,177644,648122,107465
16.04.2020,145166,168941,184948,677791,112808
17.04.2020,147057,172434,190839,710585,117798
18.04.2020,150861,175925,191726,738145,122534
19.04.2020,151955,178972,198674,763786,126394
20.04.2020,154402,181228,200210,793812,131260
21.04.2020,157068,183957,204178,819739,136035
22.04.2020,158867,187327,208389,849125,141540
23.04.2020,157158,189973,213024,881502,146708
24.04.2020,159969,192994,202990,913444,151689
25.04.2020,161647,195351,205905,944509,155453
26.04.2020,162280,197675,207634,970648,158926
27.04.2020,165966,199414,209465,995277,163630
28.04.2020,169098,201505,210773,1019718,168357
29.04.2020,167643,203591,212917,1046323,173807
30.04.2020,168861,205463,213435,1075384,178771
01.05.2020,169387,207428,215216,1110657,183501
02.05.2020,170179,209328,216582,1137961,186731
03.05.2020,170540,210717,217466,1161844,189708
04.05.2020,171102,211938,218011,1185724,193091
05.05.2020,172219,213013,219329,1209657,196780
06.05.2020,176355,214457,220325,1234136,200616
07.05.2020,177096,215858,221447,1261636,204387
08.05.2020,177627,217185,222857,1288983,207439
09.05.2020,178155,218268,223578,1313531,209589
10.05.2020,178404,219070,224350,1332248,211911
11.05.2020,178719,219814,227436,1351304,215500
12.05.2020,179472,221216,228030,1374532,218895
13.05.2020,179993,222104,228691,1394493,222195
14.05.2020,180635,223096,229540,1420465,224813
15.05.2020,181148,223885,230183,1445346,227334
16.05.2020,181563,224760,230698,1469473,229406
17.05.2020,181703,225435,230698,1487848,231232
18.05.2020,182147,225886,231606,1510438,233809
19.05.2020,182648,226699,232037,1530989,236867
20.05.2020,183129,227364,232555,1553557,239579
21.05.2020,183396,228006,233037,1578936,242133
22.05.2020,184152,228658,234824,1602847,244174
23.05.2020,184698,229327,235290,1623003,245682
24.05.2020,184259,229858,235772,1643184,247037
25.05.2020,184584,230158,235400,1662107,248650
26.05.2020,184839,230555,236259,1680788,250309
27.05.2020,185012,231139,236259,1699701,252118
28.05.2020,188355,231732,237906,1720769,253854
29.05.2020,188949,232248,238564,1746010,255362
30.05.2020,190743,232664,239228,1769149,256469
31.05.2020,190975,232997,239479,1787437,257539
01.06.2020,191382,233197,239638,1804696,258983
02.06.2020,190735,233515,239932,1825905,260453
03.06.2020,187509,233836,240326,1845204,261802
04.06.2020,191869,234013,240660,1873255,263040
05.06.2020,192450,234531,240978,1899624,264150
06.06.2020,193022,234801,241310,1919964,264944
07.06.2020,193363,234998,241550,1937706,265662
08.06.2020,193637,235278,241717,1954628,266756
09.06.2020,194190,235561,241966,1974915,267915
10.06.2020,194815,235763,242280,1996563,269101
11.06.2020,195179,236142,242707,2018641,270108
12.06.2020,195980,236305,243209,2044427,271162
13.06.2020,196477,236651,243605,2068498,272050
14.06.2020,196867,236989,243928,2087590,272857
15.06.2020,197003,237290,244109,2108541,273888
16.06.2020,197666,237500,244328,2133209,274971
17.06.2020,198155,237828,244683,2160227,275970
18.06.2020,198741,238159,245268,2188006,276990
19.06.2020,199528,238011,245575,2219578,277974
20.06.2020,200147,238275,245938,2251416,278640
21.06.2020,200490,238499,246272,2277330,279264
22.06.2020,200632,238720,246504,2306880,280156
23.06.2020,201330,238833,246752,2345206,281038
24.06.2020,201598,239410,247086,2381556,281815
25.06.2020,201853,239706,247486,2420662,282512
26.06.2020,203116,239961,247905,2470212,283151
27.06.2020,203564,240136,248469,2511480,283785
28.06.2020,203157,240310,248770,2553742,284192
29.06.2020,203802,240436,248970,2595402,284812
30.06.2020,204244,240578,249271,2644784,285216
01.07.2020,205234,240760,249659,2694284,285279
02.07.2020,205773,240961,250103,2748867,285285
03.07.2020,206312,241184,250545,2800858,285787
04.07.2020,206670,241419,250545,2846807,286412
05.07.2020,206682,241611,250545,2900379,286931
06.07.2020,207700,241819,251789,2943360,287290
07.07.2020,208154,241956,252130,2999923,287874
08.07.2020,208976,242149,252513,3060967,288511
09.07.2020,209420,242363,253056,3120348,289154
10.07.2020,210135,242639,253908,3189128,289678
11.07.2020,210386,242827,253908,3249863,290504
12.07.2020,210402,243061,253908,3308684,291154
13.07.2020,211825,243230,255953,3369682,291691
14.07.2020,211887,243344,256619,3434744,292931
15.07.2020,212614,243506,257494,3501078,293469
16.07.2020,213183,243736,258855,3571432,294116
17.07.2020,214009,243967,260255,3638085,294803
18.07.2020,214174,244216,260255,3702801,295632
19.07.2020,214178,244434,260255,3761965,296358
20.07.2020,216089,244624,264836,3823086,296944
21.07.2020,216684,244752,266194,3890256,297389
22.07.2020,217605,245032,267551,3958328,297952
23.07.2020,218841,245338,270166,4026297,298731
24.07.2020,219932,245590,272421,4101707,299500
25.07.2020,220016,245864,272421,4164535,300270
26.07.2020,220020,246118,272421,4221243,301020
27.07.2020,222508,246286,278782,4281540,301708
28.07.2020,223072,246488,280610,4346507,302261
29.07.2020,224542,246776,282641,4411247,303063
30.07.2020,225936,247158,285430,4478951,303910
31.07.2020,227239,247537,288522,4544906,304793
01.08.2020,227301,247832,288522,4602631,305562
02.08.2020,227304,248070,288522,4650041,306309
03.08.2020,230665,248229,297054,4690918,307251
04.08.2020,231636,248419,302814,4752680,307926
05.08.2020,233344,248803,305767,4807347,308832
06.08.2020,234945,249204,309855,4866983,309796
07.08.2020,237332,249756,314362,4928203,310696
08.08.2020,237402,250103,314362,4991932,311461
09.08.2020,237408,250566,314362,5046731,312574
