country,France,Italy,Spain,US,United Kingdom
22.01.2020,0.0,0.0,0.0,0.0,0.0
23.01.2020,0.0,0.0,0.0,0.0,0.0
24.01.2020,0.0,0.0,0.0,0.0,0.0
25.01.2020,0.0,0.0,0.0,0.0,0.0
26.01.2020,0.0,0.0,0.0,0.0,0.0
27.01.2020,0.0,0.0,0.0,0.0,0.0
28.01.2020,0.0,0.0,0.0,0.0,0.0
29.01.2020,0.0,0.0,0.0,0.0,0.0
30.01.2020,0.0,0.0,0.0,0.0,0.0
31.01.2020,0.0,0.0,0.0,0.0,0.0
01.02.2020,0.0,0.0,0.0,0.0,0.0
02.02.2020,0.0,0.0,0.0,0.0,0.0
03.02.2020,0.0,0.0,0.0,0.0,0.0
04.02.2020,0.0,0.0,0.0,0.0,0.0
05.02.2020,0.0,0.0,0.0,0.0,0.0
06.02.2020,0.0,0.0,0.0,0.0,0.0
07.02.2020,0.0,0.0,0.0,0.0,0.0
08.02.2020,0.0,0.0,0.0,0.0,0.0
09.02.2020,0.0,0.0,0.0,0.0,0.0
10.02.2020,0.0,0.0,0.0,0.0,0.0
11.02.2020,0.0,0.0,0.0,0.0,0.0
12.02.2020,0.0,0.0,0.0,0.0,0.0
13.02.2020,0.0,0.0,0.0,0.0,0.0
14.02.2020,0.0,0.0,0.0,0.0,0.0
15.02.2020,0.0,0.0,0.0,0.0,0.0
16.02.2020,0.0,0.0,0.0,0.0,0.0
17.02.2020,0.0,0.0,0.0,0.0,0.0
18.02.2020,0.0,0.0,0.0,0.0,0.0
19.02.2020,0.0,0.0,0.0,0.0,0.0
20.02.2020,0.0,0.0,0.0,0.0,0.0
21.02.2020,0.0,0.0,0.0,0.0,0.0
22.02.2020,0.0,10,0.0,0.0,0.0
23.02.2020,0.0,10,0.0,0.0,0.0
24.02.2020,0.0,10,0.0,0.0,0.0
25.02.2020,0.0,10,0.0,0.0,0.0
26.02.2020,10,10,0.0,0.0,0.0
27.02.2020,10,10,0.0,0.0,0.0
28.02.2020,10,10,0.0,0.0,0.0
29.02.2020,10,10,0.0,0.0,0.0
01.03.2020,10,10,0.0,0.0,0.0
02.03.2020,10,10,0.0,10,0.0
03.03.2020,10,10,0.0,10,0.0
04.03.2020,10,10,10,10,0.0
05.03.2020,10,10,10,10,0.0
06.03.2020,10,10,10,10,0.0
07.03.2020,10,10,10,10,10
08.03.2020,10,10,10,10,10
09.03.2020,10,10,10,10,10
10.03.2020,10,10,10,10,10
11.03.2020,10,10,10,10,10
12.03.2020,10,10,10,10,10
13.03.2020,10,10,10,10,10
14.03.2020,10,10,10,10,10
15.03.2020,10,10,10,10,10
16.03.2020,10,10,10,10,10
17.03.2020,10,10,10,10,10
18.03.2020,10,10,10,10,10
19.03.2020,10,10,10,10,10
20.03.2020,10,10,10,10,10
21.03.2020,10,10,10,10,10
22.03.2020,10,10,10,10,10
23.03.2020,10,10,10,10,10
24.03.2020,10,10,10,10,10
25.03.2020,10,10,10,10,10
26.03.2020,10,10,10,10,10
27.03.2020,10,10,10,10,10
28.03.2020,10,10,10,10,10
29.03.2020,10,10,10,10,10
30.03.2020,10,9.675166508905374,10,10,10
31.03.2020,10,8.960122554730868,10,10,10
01.04.2020,10,8.365127052190488,10,10,10
02.04.2020,10,7.834803263803904,10,10,10
03.04.2020,10,7.023088629981345,10,10,10
04.04.2020,10,6.295343255592075,10,10,10
05.04.2020,10,5.706039235491866,9.281299373421275,10,10
06.04.2020,10,5.201768774695187,8.155154634826328,10,10
07.04.2020,10,4.692396012718072,7.524129449424575,10,10
08.04.2020,10,4.308810252321419,6.726073631385897,10,10
09.04.2020,10,3.976682140193767,5.8961460085363395,10,10
10.04.2020,10,3.6357509448187053,5.3090330330589355,10,10
11.04.2020,9.075538359427764,3.4422288380197474,4.8198941664049135,10,10
12.04.2020,8.674348281389213,3.2702810808338847,4.508783870355314,10,10
13.04.2020,7.770368583668116,3.1047226411209445,4.171788551205327,10,10
14.04.2020,6.210149569246802,3.0027365157289663,3.6593034052358644,9.447106570587943,9.398980179399386
15.04.2020,6.765296057508335,2.942598452616084,3.4153561640490713,8.80590128589777,8.34177691594301
16.04.2020,5.632110104166137,2.795902482726951,3.246289308835101,8.060720688187448,7.470032187521125
17.04.2020,5.087276977570718,2.7209399734996063,3.1680699217546935,7.416511801258186,6.630735736856714
18.04.2020,4.8895444551611,2.5545332905655647,2.730963801599255,6.838886927286498,6.450569791904882
19.04.2020,4.598128580080606,2.504579047174349,2.5044472764012404,6.482990909251859,5.989655376456901
20.04.2020,4.426303349524055,2.3723628103164853,2.329053663295737,6.206331695031141,5.591610501145076
21.04.2020,4.0898712564017385,2.268487609096744,2.382279747384066,5.799260312492679,5.329445312072224
22.04.2020,3.156592404487125,2.1298213018606598,2.1584215747629125,5.383336795062229,5.040114998074017
23.04.2020,2.8752191211386995,2.0475653814544503,1.9843446164123475,5.173342489570708,4.511764850738111
24.04.2020,2.522554668624774,1.9118946684283615,1.7128503731681757,4.9522880319581315,4.364146793156934
25.04.2020,2.2691827189408014,1.8374535483099126,1.9233118599367678,4.6923824128682154,3.9401831734336326
26.04.2020,2.1350138717954636,1.7119158295662096,1.8107304510041853,4.357304719572489,3.8168308760325185
27.04.2020,2.01167849563056,1.6163389667234345,1.7359483522772445,3.975788214395053,3.5658328253883553
28.04.2020,1.8643605711189575,1.502273229686343,1.6241705214059226,3.7302542499523375,3.218393665989869
29.04.2020,1.7476747966387454,1.417649712900175,1.6038309115295273,3.5458811901411664,3.049875675452865
30.04.2020,1.5734042518925457,1.300483842236591,1.4721100467010488,3.3475044647020815,2.936367326542578
01.05.2020,1.4461433884386494,1.203047832981325,1.2354869865910545,3.170013735121693,2.644209893362094
02.05.2020,1.323444216976144,1.214569091244076,1.319955029226784,3.0826627847156254,2.4394182156104702
03.05.2020,1.2476339469017235,1.1603712171553595,1.2336485093576848,2.973269672023103,2.3493324826976654
04.05.2020,1.1497577080238115,1.0782714899574233,1.1224778890835083,2.8810049527893384,2.2958570950761694
05.05.2020,1.1131687873545077,0.991923088029902,1.0435974524794032,2.779859920841139,2.090476653168166
