country,France,Italy,Spain,US,United Kingdom
22.01.2020,0.0,0.0,0.0,0.0,0.0
23.01.2020,0.0,0.0,0.0,0.0,0.0
24.01.2020,0.0,0.0,0.0,10,0.0
25.01.2020,7.142857142857143,0.0,0.0,10,0.0
26.01.2020,7.142857142857143,0.0,0.0,10,0.0
27.01.2020,7.142857142857143,0.0,0.0,10,0.0
28.01.2020,10,0.0,0.0,10,0.0
29.01.2020,10,0.0,0.0,10,0.0
30.01.2020,10,0.0,0.0,10,0.0
31.01.2020,10,0.0,0.0,10,0.0
01.02.2020,10,0.0,0.0,10,0.0
02.02.2020,10,0.0,0.0,7.619047619047619,0.0
03.02.2020,10,0.0,0.0,10,10
04.02.2020,6.428571428571429,0.0,0.0,10,10
05.02.2020,2.857142857142857,0.0,0.0,10,10
06.02.2020,2.857142857142857,0.0,0.0,10,10
07.02.2020,2.857142857142857,7.142857142857143,0.0,6.655844155844156,10
08.02.2020,10,7.142857142857143,0.0,6.655844155844156,10
09.02.2020,10,7.142857142857143,10,6.655844155844156,10
10.02.2020,10,7.142857142857143,10,1.298701298701299,9.233821733821733
11.02.2020,10,7.142857142857143,10,2.489177489177489,10
12.02.2020,10,7.142857142857143,10,2.489177489177489,9.420896563753706
13.02.2020,10,7.142857142857143,10,2.2893772893772892,10
14.02.2020,10,0.0,10,2.2893772893772892,10
15.02.2020,1.298701298701299,0.0,10,2.2893772893772892,4.804883491858282
16.02.2020,1.298701298701299,0.0,0.0,2.2893772893772892,3.705982392957183
17.02.2020,1.298701298701299,0.0,0.0,2.2893772893772892,4.499633186607976
18.02.2020,1.298701298701299,0.0,0.0,1.098901098901099,3.4792250233426705
19.02.2020,1.298701298701299,0.0,0.0,1.098901098901099,3.278723770209838
20.02.2020,1.298701298701299,0.0,0.0,0.0,3.8144380559241244
21.02.2020,1.298701298701299,10,0.0,2.0408163265306123,3.623452570820992
22.02.2020,0.0,10,0.0,2.0408163265306123,3.623452570820992
23.02.2020,0.0,10,0.0,2.0408163265306123,6.729042632932794
24.02.2020,0.0,10,0.0,2.0408163265306123,6.9558000025473055
25.02.2020,2.3809523809523805,10,10,2.0408163265306123,8.86056190730921
26.02.2020,6.462585034013605,10,10,2.0408163265306123,9.369186409741761
27.02.2020,10,10,10,2.933673469387755,10
28.02.2020,10,10,10,0.8928571428571429,10
29.02.2020,10,10,10,7.6155462184873945,10
01.03.2020,10,10,10,10,10
02.03.2020,10,10,10,10,10
03.03.2020,10,10,10,10,10
04.03.2020,10,10,10,10,10
05.03.2020,10,10,10,10,10
06.03.2020,10,10,10,10,10
07.03.2020,10,10,10,10,10
08.03.2020,10,10,10,10,10
09.03.2020,10,10,10,10,10
10.03.2020,10,10,10,10,10
11.03.2020,10,10,10,10,10
12.03.2020,10,10,10,10,10
13.03.2020,10,10,10,10,10
14.03.2020,10,10,10,10,10
15.03.2020,10,10,10,10,10
16.03.2020,10,10,10,10,10
17.03.2020,10,10,10,10,10
18.03.2020,10,10,10,10,10
19.03.2020,10,10,10,10,10
20.03.2020,10,10,10,10,10
21.03.2020,10,10,10,10,10
22.03.2020,10,10,10,10,10
23.03.2020,10,10,10,10,10
24.03.2020,10,10,10,10,10
25.03.2020,10,10,10,10,10
26.03.2020,10,10,10,10,10
27.03.2020,10,9.119125394375574,10,10,10
28.03.2020,10,8.113651810108417,10,10,10
29.03.2020,10,7.43712524636768,10,10,10
30.03.2020,10,6.872525476696508,10,10,10
31.03.2020,10,6.268639043296894,10,10,10
01.04.2020,10,5.838450006552827,10,10,10
02.04.2020,10,5.250260364218301,9.940052209440873,10,10
03.04.2020,10,4.771162936583871,8.888296446559332,10,10
04.04.2020,4.296438001476898,4.357367165838472,8.089718547045155,10,10
05.04.2020,3.5659030128480844,4.046122494018794,7.368895981198237,10,10
06.04.2020,2.811774896170331,3.852585050130337,6.515475992072559,10,10
07.04.2020,-0.6111667156894498,3.611020559355692,5.772008763410015,10,9.296132381983343
08.04.2020,-0.7728162709365183,3.3694505725444697,5.18338341059102,10,8.486698060187155
09.04.2020,-0.24370702185715665,3.1971218296611426,4.575101592472732,9.395564898994293,7.784314418324393
10.04.2020,-1.0974893487628,3.021737613671505,4.1366124016588595,8.607740217336234,7.081814570267702
11.04.2020,3.0521018946555207,2.903275437539573,3.7304903037130748,7.829597333070441,6.593856803458686
12.04.2020,10,2.7924638671975637,3.443565429922265,7.218309308063548,6.251341241547569
13.04.2020,10,2.681808744461771,3.1776761835136784,6.594454779350484,5.655268332135925
14.04.2020,10,2.6204322252797785,2.8322429096473796,6.13998620133971,5.1146627333359245
15.04.2020,10,2.450739556969276,2.6229035672162806,5.653214954824612,4.8051739298074905
16.04.2020,10,2.3474661207032397,2.728172240130403,5.137104316145973,4.609786104583735
17.04.2020,10,2.24985055504433,2.712271616050674,4.81039993953721,4.483614240248662
18.04.2020,10,2.084683452466067,2.3495743045299093,4.557148662688599,4.462367799422352
19.04.2020,5.007840290063531,1.9482083093289246,2.533940849340739,4.3499054193576345,4.352341446425967
20.04.2020,4.825438053967644,1.8402184063113378,2.364549030570792,4.227530217122711,4.261983917542489
21.04.2020,2.845261659810576,1.7891758296866114,2.4425896652605794,4.017110391534733,4.147962900584221
22.04.2020,2.6547813979762873,1.8164040984131624,2.314712267165374,3.9357462082843084,4.014331619619464
23.04.2020,1.1458853546432433,1.6907057090253386,2.045085369704409,3.827457365611156,3.825676385297084
24.04.2020,1.2153138112375061,1.6225114596378085,0.9171586529882105,3.6508050898483013,3.678781298808088
25.04.2020,0.9956282625180036,1.5077598549268794,1.0559074586679549,3.573335438183803,3.4589171668993894
26.04.2020,0.9479744305644556,1.4302834881280073,0.6581626006664296,3.474175492730608,3.3280556948787314
27.04.2020,1.0424083773060961,1.3758826953499688,0.6736932202147266,3.270302587462782,3.200913098249966
28.04.2020,1.0653329398106224,1.3105590334789443,0.47976879355852914,3.154833751874359,3.0939154546477603
29.04.2020,0.7787884285031552,1.1967390601315953,0.33045335917566493,3.0107854584728737,2.978260592040983
30.04.2020,1.036257929660638,1.1263086712088939,0.047465016049028516,2.860229316360171,2.8646572793438945
